course_title,professor,location,course_code,course_subject
Advanced Strategies in Genetics and Genomics.,Thomas   Duchaine | Maxime   Bouchard | Josee   Dostie | Vincent   Giguere | Michael Trevor   Hallett | Russell G.  Jones | Jacek Andrzej  Majewski | Alexandre   Montpetit | Jose Guerreiro   Teodoro ,TBA,600,BIOC
Genomics and Gene Expression.,William Joseph   Muller | Maxime   Bouchard | Imed Eddine   Gallouzi | Sidong   Huang | Russell G.  Jones | Luke   McCaffrey | Jose Guerreiro   Teodoro ,TBA,603,BIOC
Macromolecular Structure.,Bhushan   Nagar ,TBA,604,BIOC
Bioethical Theory.,Carolyn Norine  Ells ,TBA,680,BIOE
Medical Basis of Bioethics.,TBA,TBA,682,BIOE
Independent Studies 3.,Nicholas Benjamin  King ,TBA,694,BIOE
Independent Studies 3.,Carolyn Norine  Ells ,TBA,694,BIOE
Principles: Organismal Biology.,Rudiger   Krahe | Rajinder S   Dhindsa | Andrew   Hendry ,LEA 132,111,BIOL
Essential Biology.,Sarah   Woolley | Jacalyn Mari  Vogel ,STBIO S1/4,115,BIOL
Molecular Biology.,Thomas E   Bureau | Richard D W   Roy ,LEA 232,200,BIOL
Molecular Biology.,Monique Claire  Zetka | Kenneth E M   Hastings ,LEA 132,200,BIOL
Methods in Biology of Organisms.,Elena Melania  Cristescu | Gregor Florian  Fussmann | Louis   Lefebvre | Andrea   Miller-Nesbitt | Daniel J   Schoen ,STBIO N2/2,206,BIOL
Perspectives of Science.,Louis   Lefebvre ,MCMED 1034,210,BIOL
Introduction to Ecology and Evolution.,Catherine   Potvin | Ehab   Abouheif ,MAASS 112,215,BIOL
Molecular Biology of the Gene.,Frieder Bernd  Schöck | Nam Sung   Moon ,STBIO S1/3,300,BIOL
Cell and Molecular Laboratory.,Huanquan   Zheng | Paul Martin  Harrison | Rodrigo   Reyes Lamothe ,ENGMC 204,301,BIOL
Evolution.,Ehab   Abouheif | Andrew   Hendry | Hans Carl Erling  Larsson ,REDMUS AUD,304,BIOL
